provincia,total_companias,capital_total_usd,capital_promedio_usd
GUAYAS,81047,13145077176.33,236108.37
PICHINCHA,64836,13743798681.57,81031.5
AZUAY,11389,1917284249.47,48502.68
MANABI,9432,1355813538.73,67506.76
EL ORO,7193,420877131.85,22037.24
TUNGURAHUA,3868,469752709.6,88416.41
LOS RIOS,3649,239604865.29,23848.53
SANTO DOMINGO DE LOS TSACHILAS,3068,133985090.8,14344.13
LOJA,2925,234219274.84,51926.23
IMBABURA,2721,219721551.7,46219.34
