fecha,iee_global,comercio,construccion,manufactura,servicios
2015-01-03,61.0,62.1,48.0,57.5,64.5
2015-01-04,50.9,49.9,50.8,51.4,51.3
2015-01-05,51.1,50.9,46.9,50.8,52.0
2015-01-06,53.5,50.6,56.5,51.1,55.6
2015-01-07,53.1,46.5,61.9,45.7,58.4
2015-01-08,51.5,50.0,49.6,47.1,54.6
2015-01-09,50.6,50.3,46.4,51.4,51.3
2015-01-10,54.3,55.0,44.9,52.2,56.7
2015-01-11,45.4,53.4,43.2,43.7,42.4
2015-01-12,48.2,46.0,41.0,47.9,50.9
2016-01-01,40.5,40.0,39.5,47.8,37.6
2016-01-02,47.5,46.5,55.0,48.4,46.1
2016-01-03,55.6,60.3,44.0,57.1,54.7
2016-01-04,51.3,53.6,48.0,47.7,52.4
2016-01-05,50.2,58.7,47.6,53.2,44.7
2016-01-06,49.6,46.3,48.4,49.2,51.8
2016-01-07,52.4,56.4,49.8,50.4,51.6
2016-01-08,51.7,57.7,51.7,53.7,47.7
2016-01-09,53.5,54.4,49.6,51.2,54.7
2016-01-10,55.6,55.3,47.5,56.1,57.1
2016-01-11,51.2,60.4,44.6,51.0,47.7
2016-01-12,52.4,54.7,45.8,51.3,53.0
2017-01-01,45.6,45.8,41.1,49.6,44.5
2017-01-02,46.5,48.1,50.0,52.3,42.5
2017-01-03,57.5,63.0,47.8,58.5,55.9
2017-01-04,50.4,55.3,41.9,49.5,49.8
2017-01-05,58.3,58.9,47.0,55.7,61.3
2017-01-06,54.4,57.3,52.3,53.9,53.5
2017-01-07,53.2,53.0,43.4,50.0,56.7
2017-01-08,52.7,58.0,48.4,54.0,50.0
2017-01-09,54.6,56.4,37.0,53.3,57.6
2017-01-10,54.9,58.4,45.1,58.0,53.6
2017-01-11,54.9,60.6,50.7,50.4,54.7
2017-01-12,52.1,47.5,47.5,48.1,57.4
2018-01-01,46.2,44.9,54.6,51.9,42.6
2018-01-02,50.9,50.8,50.5,51.2,51.0
2018-01-03,59.1,62.0,42.6,58.3,61.1
2018-01-04,54.7,56.3,43.7,52.7,56.8
2018-01-05,53.4,56.8,50.8,53.7,51.9
2018-01-06,49.4,52.5,48.8,48.1,48.4
2018-01-07,53.3,53.6,43.6,52.1,55.6
2018-01-08,51.1,57.1,48.3,57.2,45.8
2018-01-09,53.4,48.9,47.1,50.8,58.2
2018-01-10,54.1,55.6,48.6,57.7,52.7
2018-01-11,53.5,59.9,55.8,46.0,53.0
2018-01-12,50.1,48.6,41.2,46.4,54.2
2019-01-01,48.0,43.6,48.8,52.0,48.3
2019-01-02,52.8,52.8,51.6,48.9,54.7
2019-01-03,60.0,60.5,49.7,58.9,62.3
2019-01-04,58.2,63.0,45.7,55.2,59.4
2019-01-05,53.1,55.0,51.9,53.9,52.0
2019-01-06,50.0,50.0,50.0,47.6,51.1
2019-01-07,58.6,66.4,49.2,55.3,57.8
2019-01-08,57.3,65.4,49.5,52.1,56.9
2019-01-09,47.4,46.7,46.8,49.5,46.9
2019-01-10,48.9,49.6,47.8,54.2,46.3
2019-01-11,57.3,59.3,51.2,48.6,61.2
2019-01-12,52.8,53.4,48.5,48.8,55.2
2020-01-01,48.4,43.9,49.8,53.2,48.4
2020-01-02,51.0,48.3,50.1,52.2,52.1
2020-01-03,35.3,36.4,38.7,40.6,31.7
2020-01-04,42.5,42.9,43.8,47.6,39.7
2020-01-05,54.6,51.8,53.7,56.6,55.2
2020-01-06,57.6,58.3,53.1,55.2,59.1
2020-01-07,56.6,60.4,51.3,56.0,55.9
2020-01-08,57.2,57.4,47.3,49.1,62.6
2020-01-09,60.1,62.1,52.5,59.1,61.0
2020-01-10,57.9,63.0,48.5,57.3,57.4
2020-01-11,51.6,55.0,50.7,46.3,52.5
2020-01-12,48.5,51.1,45.1,49.8,47.1
2021-01-01,41.5,37.7,44.3,44.0,41.8
2021-01-02,50.4,52.0,49.2,51.2,49.4
2021-01-03,58.0,62.1,44.6,60.6,57.2
2021-01-04,53.3,54.0,54.8,52.4,53.0
2021-01-05,53.2,53.8,48.4,54.1,53.3
2021-01-06,58.0,60.0,50.2,57.3,58.7
2021-01-07,54.6,57.0,50.9,52.8,54.8
2021-01-08,56.1,63.7,47.9,57.2,53.1
2021-01-09,53.9,54.3,51.4,56.7,52.9
2021-01-10,53.8,58.2,50.8,53.7,52.2
2021-01-11,53.9,59.3,57.0,49.7,52.3
2021-01-12,53.1,48.8,47.7,53.6,56.1
2022-01-01,49.5,47.7,41.1,48.8,52.4
2022-01-02,55.2,55.1,52.3,55.8,55.5
2022-01-03,57.6,60.4,52.4,58.3,56.7
2022-01-04,57.5,57.1,45.8,45.3,65.6
2022-01-05,57.1,54.7,51.2,50.6,62.5
2022-01-06,49.0,46.7,58.0,48.2,48.8
2022-01-07,59.3,57.6,54.3,58.4,61.5
2022-01-08,57.2,57.4,54.7,53.0,59.4
2022-01-09,52.4,54.5,54.0,48.4,52.9
2022-01-10,56.1,57.0,57.8,48.8,58.6
2022-01-11,52.6,53.6,51.7,44.6,55.8
2022-01-12,52.5,50.9,56.4,46.6,55.4
2023-01-01,46.9,42.9,53.2,46.3,48.0
2023-01-02,52.2,52.2,58.7,45.3,54.1
2023-01-03,61.4,65.7,46.9,58.2,63.2
2023-01-04,50.9,55.3,44.6,42.8,53.5
2023-01-05,58.8,59.7,51.7,53.6,62.1
2023-01-06,51.0,51.0,56.2,48.0,51.3
2023-01-07,54.9,55.4,51.4,49.6,57.8
2023-01-08,52.7,52.5,52.1,51.0,53.6
2023-01-09,51.5,53.7,52.5,47.0,52.1
2023-01-10,56.7,53.9,53.6,55.0,59.6
2023-01-11,55.3,56.4,51.0,47.3,59.1
2023-01-12,50.7,45.4,53.0,46.5,55.1
2024-01-01,44.8,46.2,43.7,45.8,43.9
2024-01-02,53.0,51.5,49.1,54.2,54.0
2024-01-03,60.6,62.4,61.3,58.4,60.5
2024-01-04,51.3,47.1,50.4,54.4,52.3
2024-01-05,54.6,58.0,48.3,54.2,54.2
2024-01-06,51.6,50.3,43.7,43.3,57.5
