ano,codigo_provincia,provincia,codigo_canton,canton,sector,valor
2023,1.0,AZUAY,105.0,Paute,Enseñanza,5122430.0
2023,1.0,AZUAY,105.0,Paute,Salud,1634850.0
2023,1.0,AZUAY,105.0,Paute,Otros servicios,568350.0
2023,1.0,AZUAY,105.0,Paute,ECONOMÍA TOTAL,64309410.0
2023,1.0,AZUAY,106.0,Pucará,"Agricultura, ganadería, silvicultura y pesca",1775410.0
2023,1.0,AZUAY,106.0,Pucará,Explotación de minas y canteras,33240.0
2023,1.0,AZUAY,106.0,Pucará,Manufactura,18450.0
2023,1.0,AZUAY,106.0,Pucará,Suministro de electricidad y de agua,16985190.0
2023,1.0,AZUAY,106.0,Pucará,Construcción,468590.0
2023,1.0,AZUAY,106.0,Pucará,Comercio,755810.0
2023,1.0,AZUAY,106.0,Pucará,"Transporte, información y comunicaciones",1136940.0
2023,1.0,AZUAY,106.0,Pucará,Alojamiento y servicios de comida,170610.0
2023,1.0,AZUAY,106.0,Pucará,Actividades financieras,887840.0
2023,1.0,AZUAY,106.0,Pucará,Actividades profesionales e inmobiliarias,353520.0
2023,1.0,AZUAY,106.0,Pucará,Administración pública,4062500.0
2023,1.0,AZUAY,106.0,Pucará,Enseñanza,1637490.0
2023,1.0,AZUAY,106.0,Pucará,Salud,45350.0
2023,1.0,AZUAY,106.0,Pucará,Otros servicios,119220.0
2023,1.0,AZUAY,106.0,Pucará,ECONOMÍA TOTAL,28450160.0
2023,1.0,AZUAY,107.0,San Fernando,"Agricultura, ganadería, silvicultura y pesca",303180.0
2023,1.0,AZUAY,107.0,San Fernando,Explotación de minas y canteras,0.0
2023,1.0,AZUAY,107.0,San Fernando,Manufactura,113330.0
2023,1.0,AZUAY,107.0,San Fernando,Suministro de electricidad y de agua,100110.0
2023,1.0,AZUAY,107.0,San Fernando,Construcción,349820.0
2023,1.0,AZUAY,107.0,San Fernando,Comercio,292970.0
2023,1.0,AZUAY,107.0,San Fernando,"Transporte, información y comunicaciones",144050.0
2023,1.0,AZUAY,107.0,San Fernando,Alojamiento y servicios de comida,20350.0
2023,1.0,AZUAY,107.0,San Fernando,Actividades financieras,786280.0
2023,1.0,AZUAY,107.0,San Fernando,Actividades profesionales e inmobiliarias,412570.0
2023,1.0,AZUAY,107.0,San Fernando,Administración pública,2617970.0
2023,1.0,AZUAY,107.0,San Fernando,Enseñanza,556870.0
2023,1.0,AZUAY,107.0,San Fernando,Salud,49740.0
2023,1.0,AZUAY,107.0,San Fernando,Otros servicios,101390.0
2023,1.0,AZUAY,107.0,San Fernando,ECONOMÍA TOTAL,5848630.0
2023,1.0,AZUAY,108.0,Santa Isabel,"Agricultura, ganadería, silvicultura y pesca",4710320.0
2023,1.0,AZUAY,108.0,Santa Isabel,Explotación de minas y canteras,6738490.0
2023,1.0,AZUAY,108.0,Santa Isabel,Manufactura,478460.0
2023,1.0,AZUAY,108.0,Santa Isabel,Suministro de electricidad y de agua,855510.0
2023,1.0,AZUAY,108.0,Santa Isabel,Construcción,9281370.0
2023,1.0,AZUAY,108.0,Santa Isabel,Comercio,4606380.0
2023,1.0,AZUAY,108.0,Santa Isabel,"Transporte, información y comunicaciones",1978520.0
2023,1.0,AZUAY,108.0,Santa Isabel,Alojamiento y servicios de comida,404860.0
2023,1.0,AZUAY,108.0,Santa Isabel,Actividades financieras,6169930.0
2023,1.0,AZUAY,108.0,Santa Isabel,Actividades profesionales e inmobiliarias,2507210.0
2023,1.0,AZUAY,108.0,Santa Isabel,Administración pública,7826260.0
2023,1.0,AZUAY,108.0,Santa Isabel,Enseñanza,3357790.0
2023,1.0,AZUAY,108.0,Santa Isabel,Salud,1269010.0
2023,1.0,AZUAY,108.0,Santa Isabel,Otros servicios,238440.0
2023,1.0,AZUAY,108.0,Santa Isabel,ECONOMÍA TOTAL,50422550.0
2023,1.0,AZUAY,109.0,Sigsig,"Agricultura, ganadería, silvicultura y pesca",2248220.0
2023,1.0,AZUAY,109.0,Sigsig,Explotación de minas y canteras,0.0
2023,1.0,AZUAY,109.0,Sigsig,Manufactura,459830.0
2023,1.0,AZUAY,109.0,Sigsig,Suministro de electricidad y de agua,539200.0
2023,1.0,AZUAY,109.0,Sigsig,Construcción,2469850.0
2023,1.0,AZUAY,109.0,Sigsig,Comercio,4284060.0
2023,1.0,AZUAY,109.0,Sigsig,"Transporte, información y comunicaciones",1282190.0
2023,1.0,AZUAY,109.0,Sigsig,Alojamiento y servicios de comida,122700.0
2023,1.0,AZUAY,109.0,Sigsig,Actividades financieras,4987560.0
2023,1.0,AZUAY,109.0,Sigsig,Actividades profesionales e inmobiliarias,1770520.0
2023,1.0,AZUAY,109.0,Sigsig,Administración pública,9368280.0
2023,1.0,AZUAY,109.0,Sigsig,Enseñanza,4592390.0
2023,1.0,AZUAY,109.0,Sigsig,Salud,701880.0
2023,1.0,AZUAY,109.0,Sigsig,Otros servicios,248080.0
2023,1.0,AZUAY,109.0,Sigsig,ECONOMÍA TOTAL,33074760.000000004
2023,1.0,AZUAY,110.0,Oña,"Agricultura, ganadería, silvicultura y pesca",276340.0
2023,1.0,AZUAY,110.0,Oña,Explotación de minas y canteras,0.0
2023,1.0,AZUAY,110.0,Oña,Manufactura,37050.0
2023,1.0,AZUAY,110.0,Oña,Suministro de electricidad y de agua,94790.0
2023,1.0,AZUAY,110.0,Oña,Construcción,349710.0
2023,1.0,AZUAY,110.0,Oña,Comercio,449210.0
2023,1.0,AZUAY,110.0,Oña,"Transporte, información y comunicaciones",231980.0
2023,1.0,AZUAY,110.0,Oña,Alojamiento y servicios de comida,62650.0
2023,1.0,AZUAY,110.0,Oña,Actividades financieras,281670.0
2023,1.0,AZUAY,110.0,Oña,Actividades profesionales e inmobiliarias,716600.0
2023,1.0,AZUAY,110.0,Oña,Administración pública,2291220.0
2023,1.0,AZUAY,110.0,Oña,Enseñanza,615530.0
2023,1.0,AZUAY,110.0,Oña,Salud,617490.0
2023,1.0,AZUAY,110.0,Oña,Otros servicios,61900.0
2023,1.0,AZUAY,110.0,Oña,ECONOMÍA TOTAL,6086140.0
2023,1.0,AZUAY,111.0,Chordeleg,"Agricultura, ganadería, silvicultura y pesca",356680.0
2023,1.0,AZUAY,111.0,Chordeleg,Explotación de minas y canteras,0.0
2023,1.0,AZUAY,111.0,Chordeleg,Manufactura,1970520.0
2023,1.0,AZUAY,111.0,Chordeleg,Suministro de electricidad y de agua,293670.0
2023,1.0,AZUAY,111.0,Chordeleg,Construcción,682640.0
2023,1.0,AZUAY,111.0,Chordeleg,Comercio,2706370.0
2023,1.0,AZUAY,111.0,Chordeleg,"Transporte, información y comunicaciones",185470.0
2023,1.0,AZUAY,111.0,Chordeleg,Alojamiento y servicios de comida,103690.0
2023,1.0,AZUAY,111.0,Chordeleg,Actividades financieras,2274910.0
2023,1.0,AZUAY,111.0,Chordeleg,Actividades profesionales e inmobiliarias,863430.0
2023,1.0,AZUAY,111.0,Chordeleg,Administración pública,5776610.0
2023,1.0,AZUAY,111.0,Chordeleg,Enseñanza,2598670.0
2023,1.0,AZUAY,111.0,Chordeleg,Salud,252090.0
2023,1.0,AZUAY,111.0,Chordeleg,Otros servicios,131860.0
2023,1.0,AZUAY,111.0,Chordeleg,ECONOMÍA TOTAL,18196610.0
2023,1.0,AZUAY,112.0,El Pan,"Agricultura, ganadería, silvicultura y pesca",304140.0
2023,1.0,AZUAY,112.0,El Pan,Explotación de minas y canteras,1830.0
2023,1.0,AZUAY,112.0,El Pan,Manufactura,11960.0
2023,1.0,AZUAY,112.0,El Pan,Suministro de electricidad y de agua,54410.0
2023,1.0,AZUAY,112.0,El Pan,Construcción,282880.0
2023,1.0,AZUAY,112.0,El Pan,Comercio,134910.0
2023,1.0,AZUAY,112.0,El Pan,"Transporte, información y comunicaciones",50300.0
2023,1.0,AZUAY,112.0,El Pan,Alojamiento y servicios de comida,72470.0
2023,1.0,AZUAY,112.0,El Pan,Actividades financieras,128940.0
2023,1.0,AZUAY,112.0,El Pan,Actividades profesionales e inmobiliarias,310020.0
2023,1.0,AZUAY,112.0,El Pan,Administración pública,2199570.0
2023,1.0,AZUAY,112.0,El Pan,Enseñanza,338130.0
2023,1.0,AZUAY,112.0,El Pan,Salud,104270.0
2023,1.0,AZUAY,112.0,El Pan,Otros servicios,18710.0
2023,1.0,AZUAY,112.0,El Pan,ECONOMÍA TOTAL,4012540.0
2023,1.0,AZUAY,113.0,Sevilla De Oro,"Agricultura, ganadería, silvicultura y pesca",124880.0
2023,1.0,AZUAY,113.0,Sevilla De Oro,Explotación de minas y canteras,0.0
2023,1.0,AZUAY,113.0,Sevilla De Oro,Manufactura,22000.0
2023,1.0,AZUAY,113.0,Sevilla De Oro,Suministro de electricidad y de agua,141240440.0
2023,1.0,AZUAY,113.0,Sevilla De Oro,Construcción,111160.0
2023,1.0,AZUAY,113.0,Sevilla De Oro,Comercio,242230.0
2023,1.0,AZUAY,113.0,Sevilla De Oro,"Transporte, información y comunicaciones",828940.0
2023,1.0,AZUAY,113.0,Sevilla De Oro,Alojamiento y servicios de comida,103110.0
2023,1.0,AZUAY,113.0,Sevilla De Oro,Actividades financieras,465880.0
2023,1.0,AZUAY,113.0,Sevilla De Oro,Actividades profesionales e inmobiliarias,1156830.0
2023,1.0,AZUAY,113.0,Sevilla De Oro,Administración pública,3463030.0
2023,1.0,AZUAY,113.0,Sevilla De Oro,Enseñanza,829440.0
2023,1.0,AZUAY,113.0,Sevilla De Oro,Salud,87150.0
2023,1.0,AZUAY,113.0,Sevilla De Oro,Otros servicios,98670.0
2023,1.0,AZUAY,113.0,Sevilla De Oro,ECONOMÍA TOTAL,148773760.0
2023,1.0,AZUAY,114.0,Guachapala,"Agricultura, ganadería, silvicultura y pesca",1209880.0
2023,1.0,AZUAY,114.0,Guachapala,Explotación de minas y canteras,0.0
2023,1.0,AZUAY,114.0,Guachapala,Manufactura,19720.0
2023,1.0,AZUAY,114.0,Guachapala,Suministro de electricidad y de agua,72000.0
2023,1.0,AZUAY,114.0,Guachapala,Construcción,137560.0
2023,1.0,AZUAY,114.0,Guachapala,Comercio,186400.0
2023,1.0,AZUAY,114.0,Guachapala,"Transporte, información y comunicaciones",132720.0
2023,1.0,AZUAY,114.0,Guachapala,Alojamiento y servicios de comida,19700.0
2023,1.0,AZUAY,114.0,Guachapala,Actividades financieras,616320.0
2023,1.0,AZUAY,114.0,Guachapala,Actividades profesionales e inmobiliarias,178080.0
2023,1.0,AZUAY,114.0,Guachapala,Administración pública,2105020.0
2023,1.0,AZUAY,114.0,Guachapala,Enseñanza,389190.0
2023,1.0,AZUAY,114.0,Guachapala,Salud,750.0
2023,1.0,AZUAY,114.0,Guachapala,Otros servicios,48160.0
2023,1.0,AZUAY,114.0,Guachapala,ECONOMÍA TOTAL,5115500.0
2023,1.0,AZUAY,115.0,Camilo Ponce Enríquez,"Agricultura, ganadería, silvicultura y pesca",1540440.0
2023,1.0,AZUAY,115.0,Camilo Ponce Enríquez,Explotación de minas y canteras,252927930.0
2023,1.0,AZUAY,115.0,Camilo Ponce Enríquez,Manufactura,8076750.0
2023,1.0,AZUAY,115.0,Camilo Ponce Enríquez,Suministro de electricidad y de agua,7520150.0
2023,1.0,AZUAY,115.0,Camilo Ponce Enríquez,Construcción,9446130.0
2023,1.0,AZUAY,115.0,Camilo Ponce Enríquez,Comercio,9554120.0
2023,1.0,AZUAY,115.0,Camilo Ponce Enríquez,"Transporte, información y comunicaciones",1843240.0
2023,1.0,AZUAY,115.0,Camilo Ponce Enríquez,Alojamiento y servicios de comida,1619080.0
2023,1.0,AZUAY,115.0,Camilo Ponce Enríquez,Actividades financieras,860280.0
2023,1.0,AZUAY,115.0,Camilo Ponce Enríquez,Actividades profesionales e inmobiliarias,3996540.0
2023,1.0,AZUAY,115.0,Camilo Ponce Enríquez,Administración pública,9344630.0
2023,1.0,AZUAY,115.0,Camilo Ponce Enríquez,Enseñanza,6413660.0
2023,1.0,AZUAY,115.0,Camilo Ponce Enríquez,Salud,395470.0
2023,1.0,AZUAY,115.0,Camilo Ponce Enríquez,Otros servicios,2306150.0
2023,1.0,AZUAY,115.0,Camilo Ponce Enríquez,ECONOMÍA TOTAL,315844570.0
2023,2.0,BOLIVAR,201.0,Guaranda,"Agricultura, ganadería, silvicultura y pesca",42522060.0
2023,2.0,BOLIVAR,201.0,Guaranda,Explotación de minas y canteras,12890.0
2023,2.0,BOLIVAR,201.0,Guaranda,Manufactura,4474110.0
2023,2.0,BOLIVAR,201.0,Guaranda,Suministro de electricidad y de agua,2571210.0
2023,2.0,BOLIVAR,201.0,Guaranda,Construcción,14308420.0
2023,2.0,BOLIVAR,201.0,Guaranda,Comercio,20269210.0
2023,2.0,BOLIVAR,201.0,Guaranda,"Transporte, información y comunicaciones",9933400.0
2023,2.0,BOLIVAR,201.0,Guaranda,Alojamiento y servicios de comida,454730.0
2023,2.0,BOLIVAR,201.0,Guaranda,Actividades financieras,21607110.0
2023,2.0,BOLIVAR,201.0,Guaranda,Actividades profesionales e inmobiliarias,10908810.0
2023,2.0,BOLIVAR,201.0,Guaranda,Administración pública,16529000.0
2023,2.0,BOLIVAR,201.0,Guaranda,Enseñanza,47360960.0
2023,2.0,BOLIVAR,201.0,Guaranda,Salud,13268010.0
2023,2.0,BOLIVAR,201.0,Guaranda,Otros servicios,6962030.0
2023,2.0,BOLIVAR,201.0,Guaranda,ECONOMÍA TOTAL,211181950.0
2023,2.0,BOLIVAR,202.0,Chillanes,"Agricultura, ganadería, silvicultura y pesca",29492160.0
2023,2.0,BOLIVAR,202.0,Chillanes,Explotación de minas y canteras,6800.0
2023,2.0,BOLIVAR,202.0,Chillanes,Manufactura,209350.0
2023,2.0,BOLIVAR,202.0,Chillanes,Suministro de electricidad y de agua,931120.0
2023,2.0,BOLIVAR,202.0,Chillanes,Construcción,2615370.0
2023,2.0,BOLIVAR,202.0,Chillanes,Comercio,3430020.0
2023,2.0,BOLIVAR,202.0,Chillanes,"Transporte, información y comunicaciones",319870.0
2023,2.0,BOLIVAR,202.0,Chillanes,Alojamiento y servicios de comida,78800.0
2023,2.0,BOLIVAR,202.0,Chillanes,Actividades financieras,1216160.0
2023,2.0,BOLIVAR,202.0,Chillanes,Actividades profesionales e inmobiliarias,374760.0
2023,2.0,BOLIVAR,202.0,Chillanes,Administración pública,3605470.0
2023,2.0,BOLIVAR,202.0,Chillanes,Enseñanza,3967350.0
2023,2.0,BOLIVAR,202.0,Chillanes,Salud,375710.0
2023,2.0,BOLIVAR,202.0,Chillanes,Otros servicios,300740.0
2023,2.0,BOLIVAR,202.0,Chillanes,ECONOMÍA TOTAL,46923680.0
2023,2.0,BOLIVAR,203.0,Chimbo,"Agricultura, ganadería, silvicultura y pesca",15460390.0
2023,2.0,BOLIVAR,203.0,Chimbo,Explotación de minas y canteras,0.0
2023,2.0,BOLIVAR,203.0,Chimbo,Manufactura,93640.0
2023,2.0,BOLIVAR,203.0,Chimbo,Suministro de electricidad y de agua,293150.0
2023,2.0,BOLIVAR,203.0,Chimbo,Construcción,2949720.0
2023,2.0,BOLIVAR,203.0,Chimbo,Comercio,3156710.0
2023,2.0,BOLIVAR,203.0,Chimbo,"Transporte, información y comunicaciones",711680.0
2023,2.0,BOLIVAR,203.0,Chimbo,Alojamiento y servicios de comida,47190.0
2023,2.0,BOLIVAR,203.0,Chimbo,Actividades financieras,5092470.0
2023,2.0,BOLIVAR,203.0,Chimbo,Actividades profesionales e inmobiliarias,932830.0
2023,2.0,BOLIVAR,203.0,Chimbo,Administración pública,3444330.0
2023,2.0,BOLIVAR,203.0,Chimbo,Enseñanza,2461540.0
2023,2.0,BOLIVAR,203.0,Chimbo,Salud,185580.0
2023,2.0,BOLIVAR,203.0,Chimbo,Otros servicios,783330.0
2023,2.0,BOLIVAR,203.0,Chimbo,ECONOMÍA TOTAL,35612560.0
2023,2.0,BOLIVAR,204.0,Echeandía,"Agricultura, ganadería, silvicultura y pesca",6327790.0
2023,2.0,BOLIVAR,204.0,Echeandía,Explotación de minas y canteras,0.0
2023,2.0,BOLIVAR,204.0,Echeandía,Manufactura,408450.0
2023,2.0,BOLIVAR,204.0,Echeandía,Suministro de electricidad y de agua,329360.0
2023,2.0,BOLIVAR,204.0,Echeandía,Construcción,2126660.0
2023,2.0,BOLIVAR,204.0,Echeandía,Comercio,2742830.0
2023,2.0,BOLIVAR,204.0,Echeandía,"Transporte, información y comunicaciones",653830.0
2023,2.0,BOLIVAR,204.0,Echeandía,Alojamiento y servicios de comida,20540.0
2023,2.0,BOLIVAR,204.0,Echeandía,Actividades financieras,816060.0
2023,2.0,BOLIVAR,204.0,Echeandía,Actividades profesionales e inmobiliarias,464930.0
2023,2.0,BOLIVAR,204.0,Echeandía,Administración pública,2380050.0
2023,2.0,BOLIVAR,204.0,Echeandía,Enseñanza,3889460.0
2023,2.0,BOLIVAR,204.0,Echeandía,Salud,888810.0
2023,2.0,BOLIVAR,204.0,Echeandía,Otros servicios,315870.0
2023,2.0,BOLIVAR,204.0,Echeandía,ECONOMÍA TOTAL,21364640.0
2023,2.0,BOLIVAR,205.0,San Miguel,"Agricultura, ganadería, silvicultura y pesca",37983510.0
2023,2.0,BOLIVAR,205.0,San Miguel,Explotación de minas y canteras,216090.0
2023,2.0,BOLIVAR,205.0,San Miguel,Manufactura,381190.0
