provincia,total_estudiantes,registros
GUAYAS,1094389,61
PICHINCHA,725310,24
MANABI,406559,61
LOS RIOS,233693,36
AZUAY,200018,32
EL ORO,175051,29
ESMERALDAS,172226,20
SANTO DOMINGO,138586,6
TUNGURAHUA,135278,19
IMBABURA,120686,17
COTOPAXI,119595,18
CHIMBORAZO,117599,23
LOJA,117041,33
SANTA ELENA,107021,9
MORONA SANTIAGO,66390,29
CANAR,63677,16
SUCUMBIOS,62860,16
ORELLANA,58639,9
BOLIVAR,50380,18
NAPO,41261,11
CARCHI,40075,14
PASTAZA,35799,8
ZAMORA CHINCHIPE,32908,19
GALAPAGOS,7097,9
